tag,name,notes
56,,Cow · Heifer · Active
82,,Cow · Heifer · EID 185-413 · Active
73,,Cow · Heifer · Active
200B UW,,Cow · Heifer · Active
100 ARCHIE,ARCHIE,Calf · Bull · Active
108 X,,Cow · Heifer · Active
2,,Cow · Heifer · Active
18,,Cow · Heifer · Active
Fiona,,Cow · Heifer · Active
09,W2 Jackhammer J09,Bull · Bull · Active
74,,Cow · Heifer · Active
9,,Cow · Heifer · Active
19,,Cow · Heifer · Active
143,,Cow · Heifer · Active
24,,Cow · Heifer · Active
128,,Cow · Heifer · Active
112,,Cow · Heifer · Active
35,,Cow · Heifer · Active
113 X,,Cow · Heifer · Active
52,,Cow · Heifer · Active
38,,Cow · Heifer · Active
54,,Cow · Heifer · Active
59,,Cow · Heifer · Active
72,,Cow · Heifer · Active
81,,Cow · Heifer · Active
86,,Cow · Heifer · Active
166Y UW,,Cow · Heifer · Active
214B,,Cow · Heifer · Active
177Y UW,,Cow · Heifer · Active
239B,,Cow · Heifer · Active
